query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	hmmsearch_pfam_domains
Pele_DN10027_c0_g1_i15	126957.SMAR006271-PA	2.01e-199	563.0	KOG0147@1|root,KOG0147@2759|Eukaryota,39R6Y@33154|Opisthokonta,3BANI@33208|Metazoa,3CXB8@33213|Bilateria,41VFH@6656|Arthropoda	33208|Metazoa	A	nucleotide binding. It is involved in the biological process described with mRNA processing	RBM39	GO:0000375,GO:0000377,GO:0000381,GO:0000398,GO:0003674,GO:0003676,GO:0003712,GO:0003713,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005815,GO:0005856,GO:0006139,GO:0006351,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0015630,GO:0016070,GO:0016071,GO:0016604,GO:0016607,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043484,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044446,GO:0044451,GO:0044464,GO:0045935,GO:0046483,GO:0048024,GO:0048518,GO:0048522,GO:0050684,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903311,GO:1903506,GO:1903508,GO:2001141	-	ko:K13091	-	-	-	-	ko00000,ko03041	-	-	-	RBM39linker,RRM_1	RBM39linker, RRM_1, RRM_occluded
Pele_DN10027_c0_g1_i16	126957.SMAR006271-PA	2.01e-199	563.0	KOG0147@1|root,KOG0147@2759|Eukaryota,39R6Y@33154|Opisthokonta,3BANI@33208|Metazoa,3CXB8@33213|Bilateria,41VFH@6656|Arthropoda	33208|Metazoa	A	nucleotide binding. It is involved in the biological process described with mRNA processing	RBM39	GO:0000375,GO:0000377,GO:0000381,GO:0000398,GO:0003674,GO:0003676,GO:0003712,GO:0003713,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005815,GO:0005856,GO:0006139,GO:0006351,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0015630,GO:0016070,GO:0016071,GO:0016604,GO:0016607,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043484,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044446,GO:0044451,GO:0044464,GO:0045935,GO:0046483,GO:0048024,GO:0048518,GO:0048522,GO:0050684,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903311,GO:1903506,GO:1903508,GO:2001141	-	ko:K13091	-	-	-	-	ko00000,ko03041	-	-	-	RBM39linker,RRM_1	RBM39linker, RRM_1, RRM_occluded
Pele_DN10029_c0_g2_i3	10224.XP_006818312.1	3.93e-154	456.0	COG1226@1|root,KOG2508@2759|Eukaryota,38GP5@33154|Opisthokonta,3BBRY@33208|Metazoa,3CRHK@33213|Bilateria	33208|Metazoa	I	Cupin-like domain	-	-	-	ko:K19219	-	-	-	-	ko00000,ko03036	-	-	-	Cupin_8	Cupin_8, JmjC_2
Pele_DN1002_c0_g1_i11	136037.KDR21100	6.64e-39	143.0	28JXK@1|root,2RWZP@2759|Eukaryota,39YYG@33154|Opisthokonta,3BJCS@33208|Metazoa,3CXXK@33213|Bilateria,41U1M@6656|Arthropoda,3SKV5@50557|Insecta	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN100318_c0_g1_i4	5888.CAK83319	8.98e-18	82.4	KOG2889@1|root,KOG2889@2759|Eukaryota,3ZBZR@5878|Ciliophora	5878|Ciliophora	S	PRP38 family	-	-	-	ko:K12849	ko03040,map03040	-	-	-	ko00000,ko00001,ko03041	-	-	-	PRP38	PRP38
Pele_DN10034_c0_g1_i3	10224.XP_006822468.1	3.0699999999999996e-262	742.0	28JHH@1|root,2QRWS@2759|Eukaryota,39UDK@33154|Opisthokonta,3BKP5@33208|Metazoa,3D3RB@33213|Bilateria	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN10034_c0_g3_i3	7739.XP_002606694.1	0.0	897.0	28JHH@1|root,2QRWS@2759|Eukaryota,38DYN@33154|Opisthokonta,3BH76@33208|Metazoa,3D1TA@33213|Bilateria,48IHB@7711|Chordata	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN10035_c0_g1_i11	7897.ENSLACP00000018305	1.05e-28	114.0	2BEH2@1|root,2S14S@2759|Eukaryota,39MAV@33154|Opisthokonta,3CNXX@33208|Metazoa,3E63V@33213|Bilateria,48RTE@7711|Chordata,49N6X@7742|Vertebrata	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN10035_c0_g1_i25	7897.ENSLACP00000009241	7.48e-40	141.0	2BEH2@1|root,2S14S@2759|Eukaryota,39MAV@33154|Opisthokonta,3CNXX@33208|Metazoa,3E63V@33213|Bilateria,48RTE@7711|Chordata,49N6X@7742|Vertebrata	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN10037_c0_g1_i8	7739.XP_002604515.1	3.67e-99	305.0	2CKW9@1|root,2QT7H@2759|Eukaryota,38D4V@33154|Opisthokonta,3BDVA@33208|Metazoa,3CYK6@33213|Bilateria,486CD@7711|Chordata	33208|Metazoa	S	acid amidase	NAAA	GO:0000323,GO:0001505,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005775,GO:0006810,GO:0006836,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0008134,GO:0008150,GO:0009987,GO:0016787,GO:0016810,GO:0023052,GO:0023061,GO:0031974,GO:0032940,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046903,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0065007,GO:0065008,GO:0070013,GO:0098916,GO:0099536,GO:0099537,GO:0099643	-	ko:K13720	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	CBAH,NAAA-beta	CBAH, NAAA-beta
