#                                                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pele_NODE_44750_length_2373_cov_922_043043_g19549_i0    -          14-3-3               PF00244.23   6.8e-32  112.1   4.5     1e-31  111.6   4.5   1.2   1   0   0   1   1   1   1 -
Pele_DN12986_c0_g1_i10                               -          17kDa_Anti_2         PF16998.8       0.15   13.2   0.1      0.32   12.2   0.1   1.5   1   0   0   1   1   1   0 -
Pele_DN12986_c0_g1_i11                               -          17kDa_Anti_2         PF16998.8       0.15   13.2   0.1      0.32   12.2   0.1   1.5   1   0   0   1   1   1   0 -
Pele_DN12986_c0_g1_i3                                -          17kDa_Anti_2         PF16998.8       0.15   13.2   0.1      0.32   12.2   0.1   1.5   1   0   0   1   1   1   0 -
Pele_NODE_29355_length_2994_cov_202_403629_g13028_i0 -          17kDa_Anti_2         PF16998.8       0.16   13.2   0.3      0.46   11.7   0.1   1.9   2   0   0   2   2   2   0 -
Pele_NODE_32882_length_2830_cov_202_183170_g13028_i1 -          17kDa_Anti_2         PF16998.8       0.16   13.2   0.3      0.46   11.7   0.1   1.9   2   0   0   2   2   2   0 -
Pele_NODE_2385_length_6931_cov_440_061680_g1273_i0    -          2-Hacid_dh           PF00389.33   2.2e-37  129.0   0.1   3.4e-37  128.4   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_2437_length_6903_cov_440_465300_g1273_i1    -          2-Hacid_dh           PF00389.33   2.2e-37  129.0   0.1   3.4e-37  128.4   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_56379_length_2039_cov_82_718718_g24659_i0   -          2-Hacid_dh           PF00389.33   9.6e-31  107.5   0.3   1.8e-30  106.6   0.1   1.6   2   0   0   2   2   2   1 -
Pele_DN53427_c0_g1_i1                                 -          2-Hacid_dh           PF00389.33   2.8e-30  106.0   0.0   3.3e-30  105.8   0.0   1.1   1   0   0   1   1   1   1 -
Pele_NODE_11860_length_4330_cov_983_762274_g5309_i1   -          2-Hacid_dh           PF00389.33   2.3e-27   96.6   0.0   2.7e-27   96.4   0.0   1.0   1   0   0   1   1   1   1 -
Pele_DN29604_c0_g1_i5                                 -          2-Hacid_dh           PF00389.33   2.9e-27   96.3   0.0   3.4e-27   96.0   0.0   1.1   1   0   0   1   1   1   1 -
Pele_NODE_100679_length_1238_cov_260_463519_g47482_i0 -          2-Hacid_dh           PF00389.33   1.1e-21   78.2   0.1   1.6e-21   77.6   0.1   1.2   1   0   0   1   1   1   1 -
Pele_NODE_90858_length_1375_cov_134_729647_g41875_i0  -          2-Hacid_dh           PF00389.33   2.1e-15   57.9   0.1   2.6e-15   57.5   0.1   1.1   1   0   0   1   1   1   1 -
Pele_NODE_54193_length_2096_cov_436_902126_g23636_i0  -          2-Hacid_dh           PF00389.33   9.6e-10   39.5   0.0   1.2e-09   39.2   0.0   1.1   1   0   0   1   1   1   1 -
Pele_DN3669_c4_g1_i4                                  -          2-Hacid_dh           PF00389.33    0.0067   17.4   0.0    0.0083   17.1   0.0   1.1   1   0   0   1   1   1   1 -
Pele_NODE_88754_length_1407_cov_87_921289_g40712_i0   -          2-Hacid_dh           PF00389.33     0.015   16.3   0.0     0.019   15.9   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN3425_c0_g1_i15                                 -          2-Hacid_dh           PF00389.33      0.29   12.1   0.0       0.4   11.7   0.0   1.2   1   0   0   1   1   1   0 -
Pele_DN92190_c0_g2_i6                                 -          2-Hacid_dh           PF00389.33      0.43   11.5   0.0       1.9    9.5   0.0   1.9   2   1   0   2   2   2   0 -
Pele_NODE_41476_length_2483_cov_106_480498_g18127_i0  -          2-Hacid_dh           PF00389.33      0.48   11.4   0.3        22    6.0   0.0   2.3   2   0   0   2   2   2   0 -
Pele_NODE_56379_length_2039_cov_82_718718_g24659_i0    -          2-Hacid_dh_C         PF02826.22   2.8e-60  204.0   0.1   6.8e-60  202.7   0.0   1.7   2   0   0   2   2   1   1 -
Pele_DN53427_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22   1.4e-57  195.2   0.0   2.1e-57  194.6   0.0   1.3   1   0   0   1   1   1   1 -
Pele_NODE_2385_length_6931_cov_440_061680_g1273_i0     -          2-Hacid_dh_C         PF02826.22   2.2e-57  194.6   0.0   4.6e-57  193.5   0.0   1.6   1   0   0   1   1   1   1 -
Pele_NODE_2437_length_6903_cov_440_465300_g1273_i1     -          2-Hacid_dh_C         PF02826.22   2.2e-57  194.6   0.0   4.6e-57  193.5   0.0   1.6   1   0   0   1   1   1   1 -
Pele_NODE_11860_length_4330_cov_983_762274_g5309_i1    -          2-Hacid_dh_C         PF02826.22   8.3e-56  189.4   0.0   1.2e-55  188.9   0.0   1.2   1   0   0   1   1   1   1 -
Pele_DN29604_c0_g1_i5                                  -          2-Hacid_dh_C         PF02826.22   9.9e-56  189.2   0.0   1.4e-55  188.7   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_100679_length_1238_cov_260_463519_g47482_i0  -          2-Hacid_dh_C         PF02826.22   6.3e-53  180.0   0.0     9e-53  179.6   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_54193_length_2096_cov_436_902126_g23636_i0   -          2-Hacid_dh_C         PF02826.22   1.1e-50  172.7   0.0   1.5e-50  172.3   0.0   1.2   1   0   0   1   1   1   1 -
Pele_DN3669_c4_g1_i4                                   -          2-Hacid_dh_C         PF02826.22   1.6e-50  172.2   0.0   2.2e-50  171.8   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_88754_length_1407_cov_87_921289_g40712_i0    -          2-Hacid_dh_C         PF02826.22   1.7e-50  172.1   0.0   2.4e-50  171.6   0.0   1.2   1   0   0   1   1   1   1 -
Pele_DN92190_c0_g2_i6                                  -          2-Hacid_dh_C         PF02826.22   1.4e-44  152.8   0.0     2e-44  152.3   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_90858_length_1375_cov_134_729647_g41875_i0   -          2-Hacid_dh_C         PF02826.22     3e-42  145.3   0.3   1.4e-41  143.1   0.3   1.9   1   1   0   1   1   1   1 -
Pele_DN7535_c0_g1_i14                                  -          2-Hacid_dh_C         PF02826.22   1.4e-10   42.1   0.2   3.2e-10   40.9   0.2   1.6   1   0   0   1   1   1   1 -
Pele_DN7535_c0_g1_i4                                   -          2-Hacid_dh_C         PF02826.22   1.5e-10   42.0   0.2   3.2e-10   40.9   0.2   1.5   1   0   0   1   1   1   1 -
Pele_DN7535_c0_g1_i12                                  -          2-Hacid_dh_C         PF02826.22   1.6e-10   41.9   0.2   3.4e-10   40.8   0.2   1.5   1   0   0   1   1   1   1 -
Pele_DN7535_c0_g1_i2                                   -          2-Hacid_dh_C         PF02826.22   1.7e-10   41.8   0.2   3.7e-10   40.7   0.2   1.5   1   0   0   1   1   1   1 -
Pele_NODE_13758_length_4107_cov_918_768716_g4773_i2    -          2-Hacid_dh_C         PF02826.22   1.9e-10   41.7   0.2   4.1e-10   40.6   0.2   1.5   1   0   0   1   1   1   1 -
Pele_DN7535_c0_g1_i18                                  -          2-Hacid_dh_C         PF02826.22   1.9e-10   41.7   0.2   4.1e-10   40.6   0.2   1.5   1   0   0   1   1   1   1 -
Pele_NODE_10135_length_4585_cov_769_969858_g4773_i0    -          2-Hacid_dh_C         PF02826.22   3.8e-10   40.7   0.2   8.6e-10   39.5   0.2   1.5   1   0   0   1   1   1   1 -
Pele_NODE_145160_length_791_cov_8_188022_g79369_i0     -          2-Hacid_dh_C         PF02826.22   6.4e-10   40.0   0.8   9.5e-10   39.4   0.8   1.3   1   0   0   1   1   1   1 -
Pele_NODE_69622_length_1739_cov_258_306122_g30891_i0   -          2-Hacid_dh_C         PF02826.22   7.5e-09   36.5   0.2   1.3e-08   35.7   0.2   1.3   1   0   0   1   1   1   1 -
Pele_DN48461_c0_g2_i1                                  -          2-Hacid_dh_C         PF02826.22   1.1e-08   36.0   0.3   2.1e-08   35.0   0.1   1.5   2   0   0   2   2   1   1 -
Pele_NODE_131668_length_902_cov_10099_583836_g17145_i3 -          2-Hacid_dh_C         PF02826.22   1.3e-08   35.7   0.1   2.1e-08   35.0   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_39192_length_2567_cov_9166_951885_g17145_i0  -          2-Hacid_dh_C         PF02826.22   1.6e-08   35.4   0.3   3.3e-08   34.4   0.1   1.6   2   0   0   2   2   1   1 -
Pele_DN153394_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22   1.8e-08   35.2   0.3   3.3e-08   34.4   0.3   1.3   1   0   0   1   1   1   1 -
Pele_NODE_99592_length_1252_cov_42_329092_g46829_i0    -          2-Hacid_dh_C         PF02826.22     2e-08   35.1   0.4   4.1e-08   34.1   0.1   1.6   2   0   0   2   2   1   1 -
Pele_NODE_71142_length_1710_cov_89_670128_g31661_i0    -          2-Hacid_dh_C         PF02826.22   2.6e-08   34.7   0.1   4.4e-08   34.0   0.1   1.3   1   0   0   1   1   1   1 -
Pele_DN7217_c0_g1_i1                                   -          2-Hacid_dh_C         PF02826.22   2.2e-06   28.4   0.1   4.3e-06   27.5   0.1   1.4   1   0   0   1   1   1   1 -
Pele_DN311869_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22   2.5e-06   28.3   0.1   4.5e-06   27.4   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_109444_length_1129_cov_544_321970_g52918_i0  -          2-Hacid_dh_C         PF02826.22   4.8e-05   24.1   0.0   8.6e-05   23.2   0.0   1.4   1   0   0   1   1   1   1 -
Pele_DN38345_c0_g1_i3                                  -          2-Hacid_dh_C         PF02826.22   5.8e-05   23.8   0.0   0.00011   22.9   0.0   1.3   1   0   0   1   1   1   1 -
Pele_DN235407_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22   7.1e-05   23.5   0.3      0.34   11.5   0.0   3.2   3   0   0   3   3   3   1 -
Pele_NODE_36417_length_2678_cov_188_178503_g15934_i0   -          2-Hacid_dh_C         PF02826.22   7.6e-05   23.4   0.0   0.00013   22.7   0.0   1.3   1   0   0   1   1   1   1 -
Pele_DN1487_c1_g1_i2                                   -          2-Hacid_dh_C         PF02826.22   0.00014   22.6   0.0   0.00023   21.8   0.0   1.4   1   1   0   1   1   1   1 -
Pele_DN1487_c1_g1_i4                                   -          2-Hacid_dh_C         PF02826.22   0.00014   22.6   0.0   0.00023   21.8   0.0   1.4   1   1   0   1   1   1   1 -
Pele_DN106701_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22   0.00017   22.3   0.1   0.00032   21.4   0.1   1.4   1   0   0   1   1   1   1 -
Pele_NODE_27177_length_3107_cov_376_523401_g12097_i0   -          2-Hacid_dh_C         PF02826.22   0.00026   21.7   0.0   0.00044   20.9   0.0   1.3   1   0   0   1   1   1   1 -
Pele_NODE_34777_length_2747_cov_627_142483_g15278_i0   -          2-Hacid_dh_C         PF02826.22   0.00036   21.2   0.0     0.025   15.2   0.1   2.2   2   0   0   2   2   2   1 -
Pele_NODE_38106_length_2609_cov_685_958991_g15278_i1   -          2-Hacid_dh_C         PF02826.22   0.00036   21.2   0.0     0.025   15.2   0.1   2.2   2   0   0   2   2   2   1 -
Pele_NODE_50041_length_2213_cov_624_409813_g15278_i3   -          2-Hacid_dh_C         PF02826.22   0.00036   21.2   0.0     0.025   15.2   0.1   2.2   2   0   0   2   2   2   1 -
Pele_NODE_145197_length_791_cov_3_536212_g79404_i0     -          2-Hacid_dh_C         PF02826.22   0.00041   21.0   0.1    0.0011   19.6   0.1   1.7   2   0   0   2   2   1   1 -
Pele_NODE_127974_length_936_cov_9864_589803_g17145_i2  -          2-Hacid_dh_C         PF02826.22   0.00054   20.6   0.0   0.00074   20.2   0.0   1.3   1   0   0   1   1   1   1 -
Pele_NODE_23272_length_3335_cov_37_530963_g10450_i0    -          2-Hacid_dh_C         PF02826.22    0.0009   19.9   0.1      0.33   11.6   0.0   3.3   2   1   1   3   3   3   1 -
Pele_NODE_20460_length_3519_cov_27_764945_g9271_i0     -          2-Hacid_dh_C         PF02826.22    0.0011   19.7   0.0       3.9    8.1   0.0   3.0   2   1   1   3   3   3   0 -
Pele_NODE_105346_length_1178_cov_1889_438914_g50351_i0 -          2-Hacid_dh_C         PF02826.22    0.0017   19.0   0.1    0.0029   18.2   0.1   1.3   1   0   0   1   1   1   1 -
Pele_NODE_39598_length_2552_cov_518_339250_g17323_i0   -          2-Hacid_dh_C         PF02826.22    0.0023   18.6   0.2      0.27   11.9   0.0   2.1   1   1   1   2   2   2   1 -
Pele_NODE_40813_length_2508_cov_519_308419_g17323_i1   -          2-Hacid_dh_C         PF02826.22    0.0023   18.6   0.2      0.27   11.9   0.0   2.1   1   1   1   2   2   2   1 -
Pele_NODE_44123_length_2394_cov_517_465748_g17323_i2   -          2-Hacid_dh_C         PF02826.22    0.0023   18.6   0.2      0.27   11.9   0.0   2.1   1   1   1   2   2   2   1 -
Pele_DN831_c0_g1_i19                                   -          2-Hacid_dh_C         PF02826.22    0.0026   18.4   0.0    0.0038   17.9   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_56321_length_2040_cov_712_499237_g10637_i3   -          2-Hacid_dh_C         PF02826.22    0.0029   18.3   0.0    0.0082   16.8   0.0   1.7   1   1   1   2   2   1   1 -
Pele_NODE_59760_length_1954_cov_426_215843_g10637_i4   -          2-Hacid_dh_C         PF02826.22    0.0035   18.0   0.0    0.0088   16.7   0.0   1.7   1   1   0   1   1   1   1 -
Pele_NODE_60815_length_1929_cov_403_966595_g10637_i5   -          2-Hacid_dh_C         PF02826.22    0.0035   18.0   0.0    0.0088   16.7   0.0   1.7   1   1   0   1   1   1   1 -
Pele_DN5729_c0_g5_i1                                   -          2-Hacid_dh_C         PF02826.22    0.0036   17.9   0.0    0.0066   17.1   0.0   1.4   1   0   0   1   1   1   1 -
Pele_DN2176_c0_g1_i2                                   -          2-Hacid_dh_C         PF02826.22    0.0041   17.8   0.4       1.3    9.6   0.2   2.6   2   0   0   2   2   2   1 -
Pele_NODE_109307_length_1131_cov_45_188091_g52832_i0   -          2-Hacid_dh_C         PF02826.22    0.0052   17.4   0.0     0.009   16.7   0.0   1.3   1   0   0   1   1   1   1 -
Pele_NODE_42441_length_2450_cov_1888_246529_g18540_i0  -          2-Hacid_dh_C         PF02826.22    0.0061   17.2   0.0      0.01   16.5   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_43316_length_2421_cov_1901_323254_g18540_i2  -          2-Hacid_dh_C         PF02826.22    0.0061   17.2   0.0      0.01   16.5   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_63936_length_1858_cov_776_181513_g1906_i40   -          2-Hacid_dh_C         PF02826.22    0.0066   17.1   0.0    0.0094   16.6   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_18218_length_3693_cov_494_004696_g6566_i2    -          2-Hacid_dh_C         PF02826.22    0.0086   16.7   0.3       4.3    7.9   0.0   2.7   3   0   0   3   3   2   0 -
Pele_DN40042_c2_g1_i2                                  -          2-Hacid_dh_C         PF02826.22    0.0095   16.6   0.0     0.024   15.3   0.0   1.6   1   1   0   1   1   1   1 -
Pele_DN10785_c0_g1_i18                                 -          2-Hacid_dh_C         PF02826.22     0.013   16.1   7.6       4.4    7.9   0.0   3.6   3   1   1   4   4   3   0 -
Pele_DN10785_c0_g1_i14                                 -          2-Hacid_dh_C         PF02826.22     0.013   16.1   7.6       4.4    7.9   0.0   3.6   3   1   1   4   4   3   0 -
Pele_NODE_54235_length_2095_cov_268_002967_g23653_i0   -          2-Hacid_dh_C         PF02826.22     0.014   16.0   0.0     0.022   15.4   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN42887_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22     0.015   15.9   0.1     0.023   15.3   0.1   1.3   1   0   0   1   1   1   0 -
Pele_NODE_94137_length_1327_cov_8_401116_g43692_i0     -          2-Hacid_dh_C         PF02826.22      0.02   15.5   0.0     0.037   14.7   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_80646_length_1537_cov_62_532787_g36446_i0    -          2-Hacid_dh_C         PF02826.22     0.022   15.4   0.0     0.037   14.7   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_13954_length_4089_cov_401_145418_g6444_i0    -          2-Hacid_dh_C         PF02826.22     0.029   15.0   0.0      0.05   14.3   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_14522_length_4033_cov_430_938131_g6444_i2    -          2-Hacid_dh_C         PF02826.22     0.029   15.0   0.0      0.05   14.3   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_74608_length_1643_cov_572_104459_g33329_i0   -          2-Hacid_dh_C         PF02826.22     0.029   15.0   0.0     0.053   14.1   0.0   1.4   1   0   0   1   1   1   0 -
Pele_DN97996_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22     0.029   15.0   0.0      0.05   14.3   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN5419_c0_g2_i5                                   -          2-Hacid_dh_C         PF02826.22      0.03   15.0   0.0     0.053   14.1   0.0   1.4   1   0   0   1   1   1   0 -
